County,2015,2016,2017,2018,2019
Florida,47507,48900,50883,53267,55660
Alachua,43073,44702,45478,49078,49689
Baker,47121,53327,59506,61769,63275
Bay,47368,48577,50283,51829,54316
Bradford,41606,43373,46106,46197,45921
Brevard,48925,49914,51536,54359,56775
Broward,51968,52954,54895,57333,59547
Calhoun,34510,37089,36237,38609,38568
Charlotte,44244,44865,46511,49225,51499
Citrus,38312,39054,40574,41424,44237
Clay,58290,59179,61971,62653,65740
Collier,57452,59783,62407,65675,69653
Columbia,41926,42848,43504,44491,46494
Miami-Dade,43129,44224,46338,48982,51347
DeSoto,35165,35513,35435,35057,35438
Dixie,36292,34634,35910,38237,39828
Duval,47690,49196,51296,53473,55807
Escambia,45390,46117,47361,49286,50915
Flagler,47866,48898,51049,53872,54514
Franklin,40401,40301,41267,42855,46643
Gadsden,35567,38533,39830,40922,41401
Gilchrist,40623,40881,42934,42357,43640
Glades,34877,34143,37385,39879,40977
Gulf,41788,40822,44647,44291,47712
Hamilton,35048,38980,36209,34583,38569
Hardee,35457,36222,39063,37594,38682
Hendry,36771,37552,37966,40728,40820
Hernando,40945,42274,44324,46030,48812
Highlands,35093,35865,36374,37314,40942
Hillsborough,50579,51681,53742,56137,58884
Holmes,35020,37437,37474,38608,39102
Indian River,45798,47446,49009,52336,54740
Jackson,35098,35470,36944,39002,39872
Jefferson,43355,41696,47599,48173,47240
Lafayette,35864,36236,41512,39543,50165
Lake,46403,47141,49734,51884,54513
Lee,48537,50390,52052,54691,57832
Leon,46745,48248,49941,51201,53106
Levy,35782,35480,36554,37634,37326
Liberty,39406,37917,36741,37363,38015
Madison,32164,29806,31816,35509,37037
Manatee,49675,51483,53408,56036,59009
Marion,39459,40295,41964,43361,45371
Martin,51593,52622,55588,57959,61133
Monroe,57290,60303,63030,67023,70033
Nassau,54116,59196,64294,66297,69943
Okaloosa,55880,57655,59955,62048,63412
Okeechobee,35405,36415,39059,40367,41760
Orange,47943,49391,51586,54335,58254
Osceola,44254,45536,47343,50063,52279
Palm Beach,53363,55277,57256,59943,63299
Pasco,45064,46010,48289,50417,52828
Pinellas,45819,47090,48968,51454,54090
Polk,43162,44146,45988,48500,50584
Putnam,31715,33003,33619,35649,37670
St. Johns,66194,69523,73640,77323,82252
St. Lucie,43459,44140,47132,49373,52322
Santa Rosa,58923,60652,62731,66242,67949
Sarasota,51766,52796,55236,58644,62236
Seminole,57010,58538,60739,63760,66768
Sumter,50350,52594,54771,55228,57226
Suwannee,36289,37796,40600,42686,47839
Taylor,36181,36195,37188,36934,40306
Union,39163,37778,37460,41770,44270
Volusia,41117,42240,43838,46760,49494
Wakulla,50340,54078,57866,62778,61410
Walton,44966,46910,50619,53785,58093
Washington,38970,38330,36989,37188,37022
