County,2015,2016,2017,2018,2019
Alachua,12.09019,13.47207,12.85566,11.67477,NAN
Baker,21.9315,21.73972,24.15513,22.98594,NAN
Bay,17.56894,24.47862,20.23536,21.0645,NAN
Bradford,19.7242,21.22373,24.21808,22.97438,NAN
Brevard,27.21918,30.94719,40.62988,41.75514,NAN
Broward,15.28704,27.44476,28.38476,22.81949,NAN
Calhoun,17.1426,17.32226,20.63678,18.98842,NAN
Charlotte,10.22107,11.31332,10.42759,10.9868,NAN
Citrus,22.05039,36.59889,27.39227,31.82689,NAN
Clay,21.81615,30.13353,26.0739,26.39035,NAN
Collier,15.89853,15.77721,18.64092,16.84955,NAN
Columbia,18.54425,19.20169,23.74566,23.7118,NAN
Miami-Dade,7.73086,10.92264,11.73889,9.49434,NAN
DeSoto,14.71577,17.07909,16.2209,16.6685,NAN
Dixie,24.32111,28.43651,27.7758,28.58892,NAN
Duval,19.13923,41.46526,45.45069,31.39072,NAN
Escambia,18.55005,16.41228,18.80189,24.7442,NAN
Flagler,14.7801,16.4765,18.41972,17.9712,NAN
Franklin,20.73016,23.73674,25.25823,24.61958,NAN
Gadsden,9.58086,11.18922,11.24477,11.57709,NAN
Gilchrist,18.82984,23.11776,23.39596,21.55094,NAN
Glades,17.55536,20.67169,21.34887,21.38807,NAN
Gulf,19.99042,24.53537,25.58857,23.61646,NAN
Hamilton,16.34858,19.79218,19.36776,21.21942,NAN
Hardee,16.15525,17.40991,18.45817,18.49855,NAN
Hendry,15.71238,17.6968,19.07277,20.53884,NAN
Hernando,20.86262,24.17152,24.2197,25.81116,NAN
Highlands,15.42463,21.30157,20.06684,20.75402,NAN
Hillsborough,13.98871,17.15065,17.53764,19.42247,NAN
Holmes,15.80876,19.6264,20.26592,22.05017,NAN
Indian River,17.64285,22.1227,19.69903,24.44792,NAN
Jackson,11.87955,13.45841,13.86924,14.62871,NAN
Jefferson,12.83716,14.40511,15.77733,14.49558,NAN
Lafayette,18.45841,21.89612,22.6304,24.02656,NAN
Lake,14.82321,14.88573,22.49182,14.89136,NAN
Lee,15.68096,20.80553,30.32414,30.15111,NAN
Leon,7.32869,9.35089,9.63268,9.7877,NAN
Levy,20.40611,21.81578,25.21971,24.04441,NAN
Liberty,15.37218,17.47895,18.87271,18.35327,NAN
Madison,14.71959,15.05849,16.46257,17.45339,NAN
Manatee,37.60771,42.85899,34.5273,26.13786,NAN
Marion,16.89584,38.03914,34.41115,33.95734,NAN
Martin,19.4446,24.064,26.43863,29.24733,NAN
Monroe,23.41867,30.3315,25.80101,25.55382,NAN
Nassau,19.00689,26.30838,28.0016,25.70821,NAN
Okaloosa,20.89476,21.25271,20.54323,24.9248,NAN
Okeechobee,23.71387,24.03517,27.04342,28.94696,NAN
Orange,15.18809,16.46816,17.15057,18.83775,NAN
Osceola,14.2033,16.34138,18.70874,21.39202,NAN
Palm Beach,22.56436,39.55072,41.14234,27.65353,NAN
Pasco,24.19636,30.74153,30.50993,31.85096,NAN
Pinellas,20.98148,27.27751,26.62044,30.80051,NAN
Polk,15.63684,20.11924,21.33422,20.91168,NAN
Putnam,13.65326,18.24034,20.73787,20.2764,NAN
St. Johns,11.99914,15.55159,16.6262,14.33671,NAN
St. Lucie,18.72543,30.83212,27.2682,23.69833,NAN
Santa Rosa,17.47441,16.67839,19.94412,19.08645,NAN
Sarasota,23.72116,22.96642,30.27664,24.22879,NAN
Seminole,15.56653,18.92181,22.79351,20.97796,NAN
Sumter,14.38416,14.98745,14.62093,16.25259,NAN
Suwannee,16.79332,17.54457,16.32414,17.63366,NAN
Taylor,15.79007,18.53883,20.2469,18.21416,NAN
Union,18.4518,19.96023,21.19273,25.18798,NAN
Volusia,19.70449,22.10885,26.28525,31.53119,NAN
Wakulla,13.59331,16.2877,18.16638,16.80154,NAN
Walton,16.06516,17.77443,18.86228,19.48948,NAN
Washington,17.05115,16.49576,17.9771,19.51363,NAN
