,County,2015,2016,2017,2018,2019,Average
0,Florida,15.5,23.9,24.6,22.9,25.1,22.4
1,Alachua,11.0,13.7,11.8,9.9,10.4,11.36
2,Baker,20.3,9.7,22.0,15.0,12.5,15.9
3,Bay,15.5,30.5,17.8,19.8,32.7,23.259999999999998
4,Bradford,15.2,9.2,14.6,14.7,18.8,14.5
5,Brevard,30.1,33.7,44.9,49.0,52.6,42.059999999999995
6,Broward,14.8,28.4,28.5,22.9,25.8,24.08
7,Calhoun,0.0,8.4,26.2,14.3,6.5,11.080000000000002
8,Charlotte,8.3,14.4,6.1,12.4,12.1,10.66
9,Citrus,23.0,55.1,33.4,46.1,43.8,40.279999999999994
10,Clay,21.2,36.3,28.2,29.8,29.2,28.939999999999998
11,Collier,12.7,18.2,18.4,19.3,23.5,18.419999999999998
12,Columbia,16.1,12.5,20.6,24.4,17.9,18.3
13,Miami-Dade,5.2,10.0,10.7,8.1,9.3,8.66
14,DeSoto,13.9,17.2,5.8,6.8,26.7,14.079999999999998
15,Dixie,14.9,34.1,24.0,24.8,0.0,19.56
16,Duval,16.6,42.5,46.3,30.9,40.3,35.32000000000001
17,Escambia,15.8,14.3,13.8,26.3,30.2,20.080000000000002
18,Flagler,17.8,20.7,21.2,17.1,36.7,22.700000000000003
19,Franklin,5.2,20.0,13.7,12.1,4.9,11.18
20,Gadsden,4.6,8.8,4.0,4.8,4.3,5.3
21,Gilchrist,5.1,0.0,35.1,6.0,3.4,9.92
22,Glades,8.2,27.7,16.1,16.3,47.2,23.1
23,Gulf,3.7,0.0,24.9,11.3,11.4,10.26
24,Hamilton,11.3,0.0,11.2,0.0,14.0,7.3
25,Hardee,11.3,10.1,11.8,12.2,12.9,11.66
26,Hendry,7.5,11.1,15.4,21.7,19.4,15.02
27,Hernando,21.2,24.2,22.9,27.1,33.2,25.720000000000006
28,Highlands,7.0,29.4,18.7,23.3,24.7,20.619999999999997
29,Hillsborough,12.7,15.8,15.5,18.5,18.2,16.14
30,Holmes,6.7,23.0,16.1,28.3,8.4,16.5
31,Indian River,16.0,22.5,17.7,26.2,20.8,20.64
32,Jackson,9.2,8.5,9.9,14.7,13.8,11.219999999999999
33,Jefferson,0.0,16.2,13.4,6.4,38.1,14.819999999999999
34,Lafayette,12.4,0.0,21.7,46.2,32.4,22.540000000000003
35,Lake,17.4,16.4,29.7,14.7,31.7,21.98
36,Lee,17.2,25.6,37.9,39.1,34.3,30.819999999999993
37,Leon,5.5,9.3,9.7,9.8,11.3,9.12
38,Levy,15.3,14.0,17.3,21.2,11.7,15.9
39,Liberty,0.0,0.0,20.5,7.9,19.1,9.5
40,Madison,10.4,3.2,10.1,24.4,10.9,11.8
41,Manatee,45.5,56.8,39.2,28.4,34.6,40.9
42,Marion,16.4,49.3,42.4,45.5,35.9,37.9
43,Martin,18.8,31.3,29.3,42.4,27.1,29.78
44,Monroe,26.4,36.8,20.3,20.6,33.3,27.479999999999997
45,Nassau,9.5,33.0,34.0,28.7,19.9,25.02
46,Okaloosa,18.4,24.5,20.0,29.0,28.4,24.060000000000002
47,Okeechobee,26.0,14.4,21.0,31.6,26.9,23.98
48,Orange,14.7,15.9,16.8,18.2,19.0,16.92
49,Osceola,13.3,15.9,19.9,22.7,19.4,18.24
50,Palm Beach,24.9,46.4,47.2,30.5,34.3,36.660000000000004
51,Pasco,23.5,32.0,31.7,33.1,39.3,31.920000000000005
52,Pinellas,19.6,27.1,26.9,32.4,42.6,29.72
53,Polk,13.2,20.0,19.9,21.0,20.3,18.88
54,Putnam,4.4,16.9,26.2,23.5,23.6,18.919999999999998
55,St. Johns,11.2,18.8,17.9,15.1,14.5,15.5
56,St. Lucie,19.0,38.2,32.0,24.9,25.1,27.839999999999996
57,Santa Rosa,14.8,10.3,14.7,15.3,18.5,14.719999999999999
58,Sarasota,26.3,29.0,36.3,27.0,29.4,29.6
59,Seminole,14.5,18.6,22.0,21.3,15.0,18.28
60,Sumter,18.9,19.2,19.1,20.4,25.9,20.7
61,Suwannee,18.6,14.5,3.3,12.2,15.3,12.779999999999998
62,Taylor,4.1,18.9,14.1,4.1,27.5,13.74
63,Union,14.6,9.0,12.6,43.5,23.1,20.560000000000002
64,Volusia,19.7,24.0,29.7,38.0,38.0,29.880000000000003
65,Wakulla,5.1,16.3,23.5,13.2,16.1,14.839999999999998
66,Walton,10.6,14.9,12.0,20.5,23.2,16.240000000000002
67,Washington,22.4,3.8,9.1,17.7,30.5,16.7
