,County,2015,2016,2017,2018,2019,Average
0,Alachua,255631.0,257478.0,259349.0,263753.0,266649.0,260572.0
1,Baker,27003.0,26967.0,27066.0,27488.0,28089.0,27322.6
2,Bay,174016.0,176637.0,178953.0,182218.0,179900.0,178344.8
3,Bradford,27325.0,27498.0,27808.0,28083.0,28455.0,27833.8
4,Brevard,563818.0,570496.0,576970.0,584050.0,593372.0,577741.2
5,Broward,1834008.0,1860979.0,1884545.0,1903210.0,1927014.0,1881951.2
6,Calhoun,14550.0,14594.0,14658.0,15315.0,14982.0,14819.8
7,Charlotte,167966.0,171219.0,173954.0,175413.0,182298.0,174170.0
8,Citrus,141830.0,143458.0,144922.0,145164.0,147735.0,144621.8
9,Clay,202229.0,206387.0,210767.0,213565.0,217109.0,210011.4
10,Collier,345528.0,351768.0,358506.0,367471.0,377700.0,360194.6
11,Columbia,68251.0,68687.0,69250.0,69566.0,70614.0,69273.6
12,Miami-Dade,2665425.0,2712144.0,2754749.0,2804160.0,2830500.0,2753395.6
13,Desoto,34876.0,35215.0,35454.0,35940.0,35718.0,35440.6
14,Dixie,16531.0,16844.0,17040.0,16767.0,16516.0,16739.6
15,Duval,909960.0,927903.0,942841.0,954454.0,971842.0,941400.0
16,Escambia,307730.0,310642.0,312811.0,317051.0,322901.0,314227.0
17,Flagler,101826.0,103584.0,106076.0,108481.0,110636.0,106120.6
18,Franklin,11852.0,11937.0,12006.0,12360.0,12017.0,12034.4
19,Gadsden,48356.0,48527.0,48690.0,48173.0,47926.0,48334.4
20,Gilchrist,16837.0,16862.0,16977.0,17578.0,17682.0,17187.2
21,Glades,12881.0,13101.0,13263.0,13193.0,13098.0,13107.2
22,Gulf,16364.0,16718.0,16957.0,16235.0,16507.0,16556.2
23,Hamilton,14665.0,14666.0,14749.0,14706.0,14787.0,14714.6
24,Hardee,27634.0,27643.0,27675.0,27436.0,27311.0,27539.8
25,Hendry,38160.0,38436.0,38675.0,39682.0,40089.0,39008.4
26,Hernando,177434.0,180213.0,183065.0,185421.0,189661.0,183158.8
27,Highlands,100955.0,101727.0,102590.0,103317.0,103391.0,102396.0
28,Hillsborough,1331997.0,1359850.0,1388111.0,1419285.0,1445243.0,1388897.2
29,Holmes,19907.0,20037.0,20132.0,20404.0,20218.0,20139.6
30,Indian River,144062.0,147163.0,149930.0,152079.0,155308.0,149708.4
31,Jackson,50461.0,50311.0,50303.0,50689.0,50325.0,50417.8
32,Jefferson,14506.0,14501.0,14530.0,14725.0,14842.0,14620.8
33,Lafayette,8649.0,8620.0,8651.0,8367.0,8613.0,8580.0
34,Lake,318366.0,325887.0,333598.0,342356.0,354537.0,334948.8
35,Lee,669297.0,684465.0,700837.0,721053.0,734630.0,702056.4
36,Leon,285233.0,288495.0,291879.0,290223.0,296717.0,290509.4
37,Levy,40457.0,40599.0,40832.0,41550.0,41354.0,40958.4
38,Liberty,8701.0,8754.0,8839.0,8781.0,9167.0,8848.4
39,Madison,19200.0,19252.0,19295.0,19420.0,19533.0,19340.0
40,Manatee,351617.0,359486.0,367130.0,381071.0,388729.0,369606.6
41,Marion,342290.0,346956.0,352067.0,355325.0,360053.0,351338.2
42,Martin,150331.0,151081.0,152333.0,155705.0,158006.0,153491.2
43,Monroe,74551.0,76461.0,77300.0,76534.0,73253.0,75619.8
44,Nassau,76867.0,78174.0,79592.0,83125.0,85135.0,80578.6
45,Okaloosa,192118.0,193247.0,194811.0,198409.0,201104.0,195937.8
46,Okeechobee,40208.0,40983.0,41469.0,41492.0,41347.0,41099.8
47,Orange,1259067.0,1287703.0,1317704.0,1370447.0,1389297.0,1324843.6
48,Osceola,311980.0,326342.0,339470.0,360426.0,368678.0,341379.2
49,Palm Beach,1382134.0,1395117.0,1411054.0,1442281.0,1458576.0,1417832.4
50,Pasco,489691.0,497991.0,507081.0,518639.0,527174.0,508115.2
51,Pinellas,947783.0,956302.0,961253.0,971022.0,979558.0,963183.6
52,Polk,636234.0,650552.0,663999.0,681691.0,688770.0,664249.2
53,Putnam,72821.0,73004.0,73068.0,73422.0,73012.0,73065.4
54,Saint Johns,215185.0,222006.0,229272.0,241545.0,249734.0,231548.4
55,Saint Lucie,289055.0,294144.0,299962.0,304743.0,309073.0,299395.4
56,Santa Rosa,163892.0,168026.0,171851.0,175552.0,179875.0,171839.2
57,Sarasota,393850.0,401316.0,407501.0,415896.0,426977.0,409108.0
58,Seminole,444403.0,450706.0,457028.0,463627.0,472775.0,457707.8
59,Sumter,116440.0,119433.0,123928.0,125779.0,130642.0,123244.4
60,Suwannee,44449.0,44340.0,44527.0,45123.0,45482.0,44784.2
61,Taylor,22752.0,22400.0,22220.0,22258.0,22652.0,22456.4
62,Union,15934.0,15873.0,15896.0,15966.0,15985.0,15930.8
63,Volusia,512247.0,519037.0,525121.0,532926.0,539563.0,525778.8
64,Wakulla,31323.0,31706.0,32134.0,32350.0,32418.0,31986.2
65,Walton,61111.0,63562.0,65724.0,67926.0,70352.0,65735.0
66,Washington,24952.0,24880.0,24935.0,25243.0,25347.0,25071.4
